epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1176.59,2.43804,3.63305,1.85232,0.16625,0.19495,0.0825,0.03023,2.238,3.15965,1.70176,0.00027745,0.00027745,0.00027745
2,2269.58,2.2517,2.81083,1.71403,0.16845,0.18674,0.10671,0.03938,2.2234,2.75752,1.73274,0.00050016,0.00050016,0.00050016
3,3328.82,2.19305,2.64679,1.67678,0.30025,0.21217,0.14253,0.05595,2.1493,2.57414,1.62141,0.000667892,0.000667892,0.000667892
